City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
126,Koupela,BF,2021-05-30 23:13:47,12.1794,-0.3517,91.99,39,39,11.45
127,Qaanaaq,GL,2021-05-30 23:13:47,77.484,-69.3632,31.01,95,100,1.59
128,Grindavik,IS,2021-05-30 23:13:48,63.8424,-22.4338,44.56,87,40,15.7
129,Nukus,UZ,2021-05-30 23:13:49,42.4531,59.6103,76.98,33,0,0.0
130,Bronnoysund,NO,2021-05-30 23:13:49,65.4625,12.1997,46.4,87,90,4.61
131,Cabo San Lucas,MX,2021-05-30 23:10:02,22.8909,-109.9124,99.52,28,1,11.5
132,Korla,CN,2021-05-30 23:13:50,41.7597,86.1469,72.81,24,11,6.35
133,Bredasdorp,ZA,2021-05-30 23:13:51,-34.5322,20.0403,52.16,78,83,3.49
134,Zemio,CF,2021-05-30 23:13:51,5.0314,25.1361,71.96,79,27,2.68
135,Kamenka,RU,2021-05-30 23:13:51,51.3223,42.7678,56.43,96,68,10.89
136,Tres Arroyos,AR,2021-05-30 23:13:52,-38.3739,-60.2798,48.79,53,73,14.67
137,Saint George,US,2021-05-30 23:13:52,37.1041,-113.5841,97.27,10,1,1.99
138,Ambon,ID,2021-05-30 23:13:53,-3.6954,128.1814,77.14,88,40,9.22
139,Lagoa,PT,2021-05-30 23:13:53,39.05,-27.9833,62.83,86,81,9.1
140,Roebourne,AU,2021-05-30 23:13:54,-20.7833,117.1333,66.42,65,10,9.28
141,Samarai,PG,2021-05-30 23:13:54,-10.6167,150.6667,80.31,75,99,15.41
142,Marabba,SD,2021-05-30 23:13:55,12.35,32.1833,94.51,26,95,6.8
143,Del Pilar,PH,2021-05-30 23:13:55,15.0333,120.7,86.18,80,44,2.91
144,Hualmay,PE,2021-05-30 23:13:56,-11.0964,-77.6139,65.93,86,56,9.37
145,Sitka,US,2021-05-30 23:13:56,57.0531,-135.33,55.29,71,90,4.61
146,Luanda,AO,2021-05-30 23:13:55,-8.8368,13.2343,77.0,88,75,6.91
147,Norfolk,US,2021-05-30 23:13:57,42.1668,-71.2495,49.51,97,100,1.01
148,Mogzon,RU,2021-05-30 23:13:57,51.7435,111.9606,38.95,49,30,7.74
149,Pychas,RU,2021-05-30 23:13:58,56.5033,52.4409,45.05,66,99,12.17
150,Havelock,US,2021-05-30 23:13:58,34.8791,-76.9013,61.03,89,90,10.36
151,Port Elizabeth,ZA,2021-05-30 23:13:59,-33.918,25.5701,57.09,71,98,10.78
152,Olafsvik,IS,2021-05-30 23:13:59,64.8945,-23.7142,43.3,78,91,13.27
153,Kendari,ID,2021-05-30 23:14:00,-3.945,122.4989,75.9,92,70,2.19
154,Kyshtovka,RU,2021-05-30 23:14:01,56.555,76.6271,58.41,60,60,11.65
155,Deputatskiy,RU,2021-05-30 23:14:01,69.3,139.9,54.07,48,30,14.07
156,Lorengau,PG,2021-05-30 23:14:02,-2.0226,147.2712,81.81,83,100,10.04
157,Bonavista,CA,2021-05-30 23:14:02,48.6499,-53.1147,45.03,66,5,5.73
158,Copiapo,CL,2021-05-30 23:09:04,-27.3667,-70.3333,53.29,60,0,1.16
159,Susanville,US,2021-05-30 23:11:58,40.4163,-120.653,86.83,12,1,1.99
160,Hilo,US,2021-05-30 23:14:03,19.7297,-155.09,83.93,72,20,18.41
161,Hofn,IS,2021-05-30 23:14:03,64.2539,-15.2082,46.15,99,100,15.5
162,Miramar,US,2021-05-30 23:14:04,25.9873,-80.2323,83.01,74,20,10.36
163,Naze,JP,2021-05-30 23:14:04,28.3667,129.4833,71.74,83,98,16.98
164,Mayor Pablo Lagerenza,PY,2021-05-30 23:14:06,-19.9309,-60.7718,62.22,66,97,7.47
165,Karratha,AU,2021-05-30 23:14:06,-20.7377,116.8463,65.98,74,7,10.4
166,Thompson,CA,2021-05-30 23:14:07,55.7435,-97.8558,62.4,28,40,4.5
167,Ilulissat,GL,2021-05-30 23:14:07,69.2167,-51.1,35.62,80,75,14.97
168,Katsuura,JP,2021-05-30 23:14:08,35.1333,140.3,73.24,68,7,14.58
169,Posadas,AR,2021-05-30 23:11:19,-27.3671,-55.8961,55.38,58,0,4.61
170,Seoul,KR,2021-05-30 23:14:08,37.5683,126.9778,63.97,77,75,4.25
171,Vila Franca Do Campo,PT,2021-05-30 23:14:09,37.7167,-25.4333,61.21,82,70,7.0
172,Xudat,AZ,2021-05-30 23:14:09,41.631,48.681,66.56,78,46,8.77
173,Touros,BR,2021-05-30 23:14:10,-5.1989,-35.4608,77.9,86,63,9.69
174,Lafia,NG,2021-05-30 23:14:10,8.4833,8.5167,82.04,66,44,4.18
175,Ust-Ishim,RU,2021-05-30 23:14:10,57.6935,71.1665,56.12,70,13,5.46
176,Rehoboth,NA,2021-05-30 23:14:11,-23.3167,17.0833,55.99,32,2,5.37
177,Khatanga,RU,2021-05-30 23:14:12,71.9667,102.5,41.09,88,82,6.6
178,Grong,NO,2021-05-30 23:14:12,64.4654,12.3149,47.7,84,100,3.13
179,Gubkinskiy,RU,2021-05-30 23:14:12,64.434,76.5026,43.5,75,100,8.68
180,Kedrovyy,RU,2021-05-30 23:14:13,56.1667,91.8167,34.21,62,1,2.39
181,Laguna,US,2021-05-30 23:14:13,38.421,-121.4238,101.21,25,1,1.99
182,Mount Isa,AU,2021-05-30 23:14:14,-20.7333,139.5,67.77,45,3,5.75
183,Tiarei,PF,2021-05-30 23:14:14,-17.5333,-149.3333,82.42,74,93,16.42
184,Adana,TR,2021-05-30 23:14:15,36.985,35.2881,69.82,93,0,0.0
